Breed,Number of lactation,Green fodder (Kg),Dry fodder (Kg),Concentrate (kg),Azolla (kg),Milk yield (Liters),Milk Fat %,SNF %,Lactometer reading,Price (Rs/Liter),Vitamin liquid (ml/day),Mineral Mixture (gm/day),Calcium Supplement (Liquid) ml/day,Number of Calcium supplement Injections
Holstein Friesian Cross,7,43,14,10,1.57,18.8,3.33,8.59,35,40.17,2,28,59,1
Jersey cross,5,35,9,13,0.41,16.28,3.79,8.45,35,43.76,4,42,62,3
Jersey cross,8,33,14,8,0.01,16.69,3.67,8.51,32,38.57,2,75,74,0
Jersey cross,1,40,8,5,1.54,12.93,3.51,8.61,35,42.13,6,62,50,0
Holstein Friesian Cross,7,31,8,14,0.11,18.74,3.39,8.53,36,35.02,4,28,52,3
Jersey cross,9,43,14,5,0.45,17.66,3.46,8.55,30,44.17,4,33,65,3
Jersey cross,7,29,8,12,1.2,15.38,3.76,8.46,37,41.41,2,31,68,3
Jersey cross,6,33,13,12,0.08,16.78,3.74,8.52,34,44.63,5,55,64,1
Holstein Friesian Cross,5,26,5,10,1.33,16.71,3.5,8.37,30,40.04,2,72,71,3
Holstein Friesian Cross,7,39,10,11,1.53,19.98,3.31,8.49,29,40.59,5,33,59,2
Holstein Friesian Cross,1,42,6,13,0.4,17.54,3.37,8.4,31,44.22,2,47,64,0
Holstein Friesian Cross,7,33,5,7,0.35,18.02,3.22,8.46,33,44.34,6,45,59,1
Holstein Friesian Cross,3,32,5,9,1.48,16.34,3.45,8.38,36,37.32,6,71,74,0
Holstein Friesian Cross,5,40,13,6,1.45,17.65,3.22,8.58,36,41.91,6,42,56,3
Jersey cross,5,27,10,12,1.47,16.07,3.86,8.43,31,41.59,3,50,74,0
Jersey cross,6,31,7,4,0.39,13.54,3.64,8.47,31,38.17,4,72,56,0
Holstein Friesian Cross,2,38,13,12,1.16,15.96,3.33,8.61,35,35.86,4,30,64,1
Holstein Friesian Cross,5,30,6,6,1.09,15.62,3.41,8.6,33,35.46,3,72,57,1
Holstein Friesian Cross,2,38,11,5,0.38,15.42,3.24,8.63,31,39.9,5,57,61,0
Holstein Friesian Cross,4,31,8,4,1.67,15.0,3.3,8.48,30,38.04,6,43,72,1
Holstein Friesian Cross,9,41,13,9,0.55,19.13,3.21,8.63,31,38.87,4,63,72,0
Holstein Friesian Cross,9,31,14,14,0.45,19.58,3.44,8.49,36,40.99,2,33,55,1
Jersey cross,1,44,8,9,0.13,14.1,3.5,8.5,35,40.37,5,32,66,3
Holstein Friesian Cross,7,43,11,12,1.49,19.99,3.36,8.4,28,41.22,6,33,54,0
Holstein Friesian Cross,1,40,7,14,1.02,15.81,3.44,8.52,37,40.7,4,34,54,3
Holstein Friesian Cross,8,36,11,4,0.38,17.87,3.3,8.58,34,43.93,6,29,54,0
Jersey cross,8,45,9,4,1.97,16.81,3.4,8.56,30,39.48,4,58,52,0
Jersey cross,1,27,7,5,0.33,11.86,3.62,8.58,35,44.57,2,74,59,0
Jersey cross,6,39,8,11,1.52,16.16,3.59,8.46,36,40.21,6,70,75,3
Jersey cross,7,43,8,7,1.83,16.69,3.45,8.5,30,40.47,5,60,50,3
Jersey cross,4,45,7,14,1.0,16.94,3.73,8.52,32,35.24,5,33,71,3
Jersey cross,2,43,7,8,1.25,13.77,3.46,8.4,36,41.27,4,75,69,2
Jersey cross,2,42,13,8,0.61,14.04,3.45,8.56,28,36.37,3,73,59,0
Jersey cross,8,40,14,10,0.08,17.27,3.64,8.54,32,44.0,4,57,56,1
Holstein Friesian Cross,9,32,14,14,1.15,20.0,3.42,8.51,33,36.73,4,64,63,2
Jersey cross,1,32,8,10,1.31,13.16,3.58,8.49,29,42.89,2,35,59,1
Holstein Friesian Cross,4,30,10,5,1.79,15.78,3.39,8.64,33,36.24,6,41,70,2
Holstein Friesian Cross,6,43,14,11,1.95,18.26,3.33,8.57,28,41.8,5,37,65,3
Holstein Friesian Cross,6,45,6,5,0.3,18.05,3.09,8.57,29,43.21,2,67,56,3
Holstein Friesian Cross,9,25,13,6,0.37,18.71,3.44,8.67,37,38.31,5,72,53,2
Holstein Friesian Cross,9,39,7,8,0.3,18.48,3.2,8.42,36,43.34,3,38,55,0
Jersey cross,5,36,13,11,0.75,16.13,3.66,8.51,36,40.29,2,51,73,2
Jersey cross,2,44,9,13,1.64,15.26,3.66,8.53,30,38.65,4,31,73,1
Jersey cross,6,33,12,9,1.87,15.42,3.62,8.5,36,38.93,3,25,68,1
Jersey cross,4,26,6,9,0.83,14.59,3.79,8.43,33,39.6,2,45,65,3
Jersey cross,7,36,10,4,1.7,15.4,3.47,8.61,28,39.67,3,54,52,2
Holstein Friesian Cross,5,40,12,5,0.37,16.65,3.2,8.55,33,36.45,5,64,62,1
Jersey cross,4,27,7,8,0.31,13.74,3.6,8.41,34,36.71,6,75,65,2
Holstein Friesian Cross,2,45,12,14,1.7,17.34,3.37,8.4,30,36.58,6,38,59,1
Holstein Friesian Cross,5,40,14,7,1.41,17.81,3.21,8.66,38,42.42,4,58,66,0
Holstein Friesian Cross,7,42,11,10,1.22,19.91,3.29,8.44,37,44.47,4,45,62,2
Jersey cross,5,37,12,7,1.46,15.66,3.51,8.53,31,35.3,2,68,57,2
Jersey cross,2,31,10,5,1.42,12.34,3.64,8.65,37,43.27,6,28,60,2
